Type;SIRET;Numero PV;Raison sociale;Adresse;CP;UL;Ville;Département;Région;IDCC;FD;Lib IDCC;Date;Coll;Inscrits;Votants;sve_total;CGT;CFDT;CGT-FO;CFTC;CFE-CGC;SOLIDAIRES;UNSA;AUTRES
CSE;46280059000020;4875846;TAB;11 RUE MARYSE BASTIE;34430;MONTPELLIER;SAINT JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;13/06/2023;1;132;85;85;0;28;57;0;0;0;0;0
CSE;80167063900021;4927402;SIEL;809  RUE FAVRE DE SAINT CASTOR;34080;MONTPELLIER;MONTPELLIER;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;01/09/2023;5;12;11;9;4;0;5;0;0;0;0;0
CSE;35108719200024;4958900;TRANSDEV OCCITANIE LITTORAL;119 AVENUE LOUIS BLERIOT;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;04/10/2023;2;19;13;9;0;0;0;0;9;0;0;0
CSE;35108719200024;4958901;TRANSDEV OCCITANIE LITTORAL;119 AVENUE LOUIS BLERIOT;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;04/10/2023;1;135;120;112;0;69;0;0;0;0;43;0
CSE;57292191400048;4980385;VIGOUROUX TRANSPORTS;ROUTE DE NARBONNE;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;07/11/2023;1;138;82;81;17;0;64;0;0;0;0;0
CSE;44324004900017;4984778;BERTO LANGUEDOC ROUSSILLON;ZI DES FOURNELS 721 RUE DES FOURNELS;34400;LUNEL;LUNEL;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;02/11/2023;1;192;67;56;56;0;0;0;0;0;0;0
CSE;30673168800108;5045637;GEODIS D ET E MEDITERRANEE MONTPELLIER;RUE DU TRAITE DE ROME PARC D ACTIVITE;34430;MONTPELLIER;ST JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;29/11/2023;4;25;23;22;0;0;22;0;0;0;0;0
CSE;30673168800108;5045638;GEODIS D ET E MEDITERRANEE MONTPELLIER;RUE DU TRAITE DE ROME PARC D ACTIVITE;34430;MONTPELLIER;ST JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;29/11/2023;4;25;21;18;0;0;18;0;0;0;0;0
CSE;82377319700038;5119711;CEM'IN'LOG;200 RTE PONTMARTIN;34200;SETE;SETE;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;29/01/2024;5;10;8;8;3;5;0;0;0;0;0;0
CSE;32407619900011;5133890;SARL TRANSPORTS CHARLON;ZI DES EAUX BLANCHES;34200;SETE;SETE;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;09/02/2024;5;70;50;36;0;0;36;0;0;0;0;0
CSE;40899688200119;5164862;ROUILLON COLON;ZA PIOCH LYON;34160;LUNEL;BOISSERON;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;08/12/2023;5;209;113;105;55;0;50;0;0;0;0;0
